created_at,order_number,sku,total_order_price,discount_code
2020-11-17 09:04:50+00:00,9127,TP00207,84,H55MPU
2020-11-17 09:04:50+00:00,9127,REGALITOS1,84,H55MPU
2020-11-17 09:04:50+00:00,9127,TP00399,84,H55MPU
2020-11-17 09:04:50+00:00,9127,57597910,84,H55MPU
2020-11-17 09:04:50+00:00,9127,TP00108-2,84,H55MPU
2020-11-17 09:04:50+00:00,9127,LUBMONO1,84,H55MPU
2020-11-17 09:04:50+00:00,9127,PM547-1,84,H55MPU
2020-11-17 09:04:43+00:00,9126,PM592,25,REMAMB
2020-11-17 09:04:43+00:00,9126,LUBMONO1,25,REMAMB
2020-11-17 09:02:09+00:00,9119,LUBMONO1,29,
2020-11-17 09:02:09+00:00,9119,PM592,29,
2020-11-17 09:01:55+00:00,9118,LUBMONO1,41,
2020-11-17 09:01:55+00:00,9118,PM036,41,
2020-11-17 09:01:33+00:00,9117,LUBMONO1,38,
2020-11-17 09:01:33+00:00,9117,TP00261,38,
2020-11-17 09:01:25+00:00,9116,LUBMONO1,38,
2020-11-17 09:01:25+00:00,9116,PM038,38,
2020-11-17 09:01:25+00:00,9115,LUBMONO1,23,
2020-11-17 09:01:25+00:00,9115,TP00049,23,
2020-11-17 09:00:37+00:00,9114,LUBMONO1,30,
2020-11-17 09:00:37+00:00,9114,TP00102,30,
2020-11-17 09:00:37+00:00,9114,PM592,30,
2020-11-17 09:00:16+00:00,9113,LUBMONO1,29,
2020-11-17 09:00:16+00:00,9113,PM591,29,
2020-11-17 08:59:29+00:00,9112,LIMP150,55,
2020-11-17 08:59:29+00:00,9112,LUBMONO1,55,
2020-11-17 08:59:29+00:00,9112,PM518-1,55,
2020-11-17 08:59:14+00:00,9111,PM036,39,
2020-11-17 08:59:14+00:00,9111,LUBMONO1,39,
2020-11-17 08:58:58+00:00,9110,PM505-1,60,
2020-11-17 08:58:58+00:00,9110,440010-003,60,
2020-11-17 08:58:58+00:00,9110,LUBMONO1,60,
2020-11-17 08:58:58+00:00,9110,TP00079-4,60,
2020-11-17 08:58:58+00:00,9110,732PM343-01,60,
2020-11-17 08:58:58+00:00,9110,PM500,60,
2020-11-17 08:58:40+00:00,9109,LUBMONO1,38,
2020-11-17 08:58:40+00:00,9109,PM038,38,
2020-11-17 08:58:01+00:00,9108,LUBMONO1,38,
2020-11-17 08:58:01+00:00,9108,PM039,38,
2020-11-17 08:57:36+00:00,9107,LUBMONO1,35,
2020-11-17 08:57:36+00:00,9107,PM525-2,35,
2020-11-17 08:57:36+00:00,9107,732PM110-01,35,
2020-11-17 08:57:20+00:00,9106,LUBMONO1,38,
2020-11-17 08:57:20+00:00,9106,PM056,38,
2020-11-17 08:56:52+00:00,9105,LUBMONO1,29,
2020-11-17 08:56:52+00:00,9105,PM591,29,
2020-11-17 08:56:28+00:00,9104,LUBMONO1,38,
2020-11-17 08:56:28+00:00,9104,PM038,38,
2020-11-17 08:55:55+00:00,9103,REGALITOS3,136,
2020-11-17 08:55:55+00:00,9103,PM037,136,
2020-11-17 08:55:55+00:00,9103,LUBMONO1,136,
2020-11-17 08:55:55+00:00,9103,TP00370,136,
2020-11-17 08:55:55+00:00,9103,PM591,136,
2020-11-17 08:55:55+00:00,9103,PM039,136,
2020-11-17 08:55:41+00:00,9102,LUBMONO1,32,
2020-11-17 08:55:41+00:00,9102,TP00264,32,
2020-11-17 08:54:57+00:00,9101,LUBMONO1,38,
2020-11-17 08:54:57+00:00,9101,PM036,38,
